business_id,hours
5UmKMjUEUNdYWqANhGckJw,"{'Friday': {'close': '21:00', 'open': '11:00'}, 'Tuesday': {'close': '21:00', 'open': '11:00'}, 'Thursday': {'close': '21:00', 'open': '11:00'}, 'Wednesday': {'close': '21:00', 'open': '11:00'}, 'Monday': {'close': '21:00', 'open': '11:00'}}"
UsFtqoBl7naz8AVUBZMjQQ,{}
3eu6MEFlq2Dg7bQh8QbdOg,{}
cE27W9VPgO88Qxe4ol6y_g,{}
HZdLhv6COCleJMo7nPl-RA,"{'Monday': {'close': '21:00', 'open': '10:00'}, 'Tuesday': {'close': '21:00', 'open': '10:00'}, 'Friday': {'close': '17:00', 'open': '10:00'}, 'Wednesday': {'close': '21:00', 'open': '10:00'}, 'Thursday': {'close': '17:00', 'open': '10:00'}, 'Sunday': {'close': '18:00', 'open': '11:00'}, 'Saturday': {'close': '21:00', 'open': '10:00'}}"
mVHrayjG3uZ_RLHkLj-AMg,"{'Tuesday': {'close': '19:00', 'open': '10:00'}, 'Friday': {'close': '20:00', 'open': '10:00'}, 'Wednesday': {'close': '19:00', 'open': '10:00'}, 'Thursday': {'close': '19:00', 'open': '10:00'}, 'Saturday': {'close': '16:00', 'open': '10:00'}}"
VHYT1qgQw5JvXAlUDhTArA,{}
KayYbHCt-RkbGcPdGOThNg,"{'Monday': {'close': '02:00', 'open': '11:00'}, 'Tuesday': {'close': '02:00', 'open': '11:00'}, 'Friday': {'close': '02:00', 'open': '11:00'}, 'Wednesday': {'close': '02:00', 'open': '11:00'}, 'Thursday': {'close': '02:00', 'open': '11:00'}, 'Saturday': {'close': '02:00', 'open': '12:00'}}"
b12U9TFESStdy7CsTtcOeg,"{'Monday': {'close': '19:00', 'open': '07:30'}, 'Tuesday': {'close': '19:00', 'open': '07:30'}, 'Friday': {'close': '19:00', 'open': '07:30'}, 'Wednesday': {'close': '19:00', 'open': '07:30'}, 'Thursday': {'close': '19:00', 'open': '07:30'}, 'Saturday': {'close': '16:00', 'open': '07:30'}}"
Sktj1eHQFuVa-M4bgnEh8g,{}
3ZVKmuK2l7uXPE6lXY4Dbg,{}
QoDa50dc7g62xciFygXB9w,{}
1_lU0-eSWJCRvNGk78Zh9Q,{}
_qopVQ6_Mz6W7-Pmbi56GQ,{}
wJr6kSA5dchdgOdwH6dZ2w,"{'Monday': {'close': '02:00', 'open': '08:00'}, 'Tuesday': {'close': '02:00', 'open': '08:00'}, 'Friday': {'close': '02:00', 'open': '08:00'}, 'Wednesday': {'close': '02:00', 'open': '08:00'}, 'Thursday': {'close': '02:00', 'open': '08:00'}, 'Sunday': {'close': '02:00', 'open': '08:00'}, 'Saturday': {'close': '02:00', 'open': '08:00'}}"
yXuao0pFz1AxB21vJjDf5w,"{'Monday': {'close': '00:00', 'open': '00:00'}, 'Tuesday': {'close': '00:00', 'open': '00:00'}, 'Friday': {'close': '00:00', 'open': '00:00'}, 'Wednesday': {'close': '00:00', 'open': '00:00'}, 'Thursday': {'close': '00:00', 'open': '00:00'}, 'Sunday': {'close': '00:00', 'open': '00:00'}, 'Saturday': {'close': '00:00', 'open': '00:00'}}"
F04xyOUA2xnUoCiWpx9iJA,{}
Cdcus0NADzyY3XiJM2O5Sg,{}
fNGIbpazjTRdXgwRY_NIXA,"{'Monday': {'close': '23:00', 'open': '11:00'}, 'Tuesday': {'close': '23:00', 'open': '11:00'}, 'Friday': {'close': '23:00', 'open': '11:00'}, 'Wednesday': {'close': '23:00', 'open': '11:00'}, 'Thursday': {'close': '23:00', 'open': '11:00'}, 'Saturday': {'close': '23:00', 'open': '11:00'}}"
b9WZJp5L1RZr4F1nxclOoQ,"{'Monday': {'close': '14:30', 'open': '06:00'}, 'Tuesday': {'close': '14:30', 'open': '06:00'}, 'Friday': {'close': '14:30', 'open': '06:00'}, 'Wednesday': {'close': '14:30', 'open': '06:00'}, 'Thursday': {'close': '14:30', 'open': '06:00'}, 'Sunday': {'close': '12:30', 'open': '07:00'}, 'Saturday': {'close': '12:30', 'open': '06:00'}}"
zaXDakTd3RXyOa7sMrUE1g,"{'Monday': {'close': '14:00', 'open': '07:00'}, 'Tuesday': {'close': '14:00', 'open': '07:00'}, 'Friday': {'close': '14:00', 'open': '07:00'}, 'Wednesday': {'close': '14:00', 'open': '07:00'}, 'Thursday': {'close': '14:00', 'open': '07:00'}, 'Saturday': {'close': '12:00', 'open': '07:00'}}"
zgy27FSnvwdINfk5cXBIyQ,"{'Monday': {'close': '00:00', 'open': '00:00'}, 'Tuesday': {'close': '00:00', 'open': '00:00'}, 'Friday': {'close': '00:00', 'open': '00:00'}, 'Wednesday': {'close': '00:00', 'open': '00:00'}, 'Thursday': {'close': '00:00', 'open': '00:00'}, 'Sunday': {'close': '00:00', 'open': '00:00'}, 'Saturday': {'close': '00:00', 'open': '00:00'}}"
WETE_LykpcnrC1sFcQ5EGg,{}
6o3RK6rTcN3nw-j-r2nQmA,{}
woOVJ0Z2f6XNCDntHA3b_g,"{'Monday': {'close': '19:00', 'open': '08:30'}, 'Tuesday': {'close': '19:00', 'open': '08:30'}, 'Friday': {'close': '19:00', 'open': '08:30'}, 'Wednesday': {'close': '19:00', 'open': '08:30'}, 'Thursday': {'close': '19:00', 'open': '08:30'}, 'Saturday': {'close': '18:30', 'open': '08:30'}}"
YX_cdwb0A62hdQRBiZJgtQ,{}
rv7CY8G_XibTx82YhuqQRw,{}
e_U_FnpdKVgNb4mUN2cU_Q,{}
SQ0j7bgSTazkVQlF5AnqyQ,{}
L0YSY79uzz_FIInvKmvyIw,"{'Friday': {'close': '15:00', 'open': '09:00'}, 'Tuesday': {'close': '16:00', 'open': '09:00'}, 'Thursday': {'close': '18:00', 'open': '09:00'}, 'Wednesday': {'close': '18:00', 'open': '12:00'}, 'Monday': {'close': '16:00', 'open': '09:00'}}"
wqu7ILomIOPSduRwoWp4AQ,"{'Monday': {'close': '00:00', 'open': '00:00'}, 'Tuesday': {'close': '00:00', 'open': '00:00'}, 'Friday': {'close': '00:00', 'open': '00:00'}, 'Wednesday': {'close': '00:00', 'open': '00:00'}, 'Thursday': {'close': '00:00', 'open': '00:00'}, 'Sunday': {'close': '00:00', 'open': '00:00'}, 'Saturday': {'close': '00:00', 'open': '00:00'}}"
1u2NauOy8xDj7aFQET680A,{}
P1fJb2WQ1mXoiudj8UE44w,"{'Monday': {'close': '22:00', 'open': '11:00'}, 'Tuesday': {'close': '22:00', 'open': '11:00'}, 'Friday': {'close': '23:00', 'open': '11:00'}, 'Wednesday': {'close': '22:00', 'open': '11:00'}, 'Thursday': {'close': '22:00', 'open': '11:00'}, 'Sunday': {'close': '21:00', 'open': '11:00'}, 'Saturday': {'close': '23:00', 'open': '11:00'}}"
8QlnAcjGE6dgfKTVoxrPvQ,"{'Monday': {'close': '22:00', 'open': '10:30'}, 'Tuesday': {'close': '22:00', 'open': '10:30'}, 'Friday': {'close': '22:00', 'open': '10:30'}, 'Wednesday': {'close': '22:00', 'open': '10:30'}, 'Thursday': {'close': '22:00', 'open': '10:30'}, 'Sunday': {'close': '21:00', 'open': '10:30'}, 'Saturday': {'close': '22:00', 'open': '10:30'}}"
t_gan0EXAw8csKIeFyazJw,"{'Monday': {'close': '00:00', 'open': '10:00'}, 'Tuesday': {'close': '00:00', 'open': '10:00'}, 'Friday': {'close': '01:30', 'open': '10:00'}, 'Wednesday': {'close': '00:00', 'open': '10:00'}, 'Thursday': {'close': '00:00', 'open': '10:00'}, 'Sunday': {'close': '23:00', 'open': '11:00'}, 'Saturday': {'close': '01:30', 'open': '10:00'}}"
3gmBc0qN_LtGbZAjTtHWZg,"{'Monday': {'close': '21:30', 'open': '06:00'}, 'Tuesday': {'close': '21:30', 'open': '06:00'}, 'Friday': {'close': '22:30', 'open': '07:00'}, 'Wednesday': {'close': '21:30', 'open': '06:00'}, 'Thursday': {'close': '22:30', 'open': '06:00'}, 'Sunday': {'close': '21:30', 'open': '06:00'}, 'Saturday': {'close': '21:00', 'open': '07:00'}}"
sZ4uYs99km644ZMR1TO76A,{}
yHTLTr-QN-loO_7XoxS8qg,"{'Monday': {'close': '21:00', 'open': '09:00'}, 'Tuesday': {'close': '21:00', 'open': '09:00'}, 'Friday': {'close': '21:00', 'open': '09:00'}, 'Wednesday': {'close': '21:00', 'open': '09:00'}, 'Thursday': {'close': '21:00', 'open': '09:00'}, 'Sunday': {'close': '19:00', 'open': '10:00'}, 'Saturday': {'close': '21:00', 'open': '09:00'}}"
iQLLIdmJSt6LQHSjpZERLA,{}
6ilJq_05xRgek_8qUp36-g,"{'Monday': {'close': '00:00', 'open': '00:00'}, 'Tuesday': {'close': '00:00', 'open': '00:00'}, 'Friday': {'close': '00:00', 'open': '00:00'}, 'Wednesday': {'close': '00:00', 'open': '00:00'}, 'Thursday': {'close': '00:00', 'open': '00:00'}, 'Sunday': {'close': '00:00', 'open': '00:00'}, 'Saturday': {'close': '00:00', 'open': '00:00'}}"
57HN9fGRar_GckBmgHgemA,{}
MKyk4F4HSzHF8v-4cYe3Ww,"{'Friday': {'close': '02:00', 'open': '18:00'}, 'Saturday': {'close': '02:00', 'open': '18:00'}, 'Thursday': {'close': '02:00', 'open': '18:00'}}"
0hrB2iwQZ52VZcZWYywXrA,"{'Friday': {'close': '16:30', 'open': '08:00'}, 'Tuesday': {'close': '16:30', 'open': '08:00'}, 'Thursday': {'close': '16:30', 'open': '08:00'}, 'Wednesday': {'close': '16:30', 'open': '08:00'}, 'Monday': {'close': '16:30', 'open': '08:00'}}"
gClSqcwuLsgyZRCzhJc7Dg,{}
1qCuOcks5HRv67OHovAVpg,{}
sbW8qHJgzEIH42B0S-3New,"{'Monday': {'close': '00:00', 'open': '11:30'}, 'Tuesday': {'close': '00:00', 'open': '11:30'}, 'Friday': {'close': '02:00', 'open': '11:30'}, 'Wednesday': {'close': '00:00', 'open': '11:30'}, 'Thursday': {'close': '00:00', 'open': '11:30'}, 'Sunday': {'close': '00:00', 'open': '11:30'}, 'Saturday': {'close': '02:00', 'open': '11:30'}}"
CgGT6sr4OCF2BHYngOIqlw,{}
W7ysp8GLCBrs0GXIVwAcBQ,{}
-taSf0shFSUKy9iCXnySsA,"{'Monday': {'close': '23:00', 'open': '11:00'}, 'Tuesday': {'close': '23:00', 'open': '11:00'}, 'Friday': {'close': '00:00', 'open': '11:00'}, 'Wednesday': {'close': '23:00', 'open': '11:00'}, 'Thursday': {'close': '23:00', 'open': '11:00'}, 'Sunday': {'close': '00:00', 'open': '11:00'}, 'Saturday': {'close': '00:00', 'open': '11:00'}}"
McikHxxEqZ2X0joaRNKlaw,"{'Monday': {'close': '02:00', 'open': '11:00'}, 'Tuesday': {'close': '02:00', 'open': '11:00'}, 'Friday': {'close': '02:00', 'open': '11:00'}, 'Wednesday': {'close': '02:00', 'open': '11:00'}, 'Thursday': {'close': '02:00', 'open': '11:00'}, 'Sunday': {'close': '00:00', 'open': '11:00'}, 'Saturday': {'close': '02:00', 'open': '11:00'}}"
frIRW4BGhdAWbSsG5ev2ng,"{'Friday': {'close': '17:00', 'open': '07:30'}, 'Tuesday': {'close': '17:00', 'open': '07:30'}, 'Thursday': {'close': '17:00', 'open': '07:30'}, 'Wednesday': {'close': '17:00', 'open': '07:30'}, 'Monday': {'close': '17:00', 'open': '07:30'}}"
tv8cS4aaA1VDaInYgggb6g,{}
eT5Ck7Gg1dBJobca9VFovw,"{'Monday': {'close': '00:00', 'open': '06:00'}, 'Tuesday': {'close': '00:00', 'open': '06:00'}, 'Friday': {'close': '00:00', 'open': '06:00'}, 'Wednesday': {'close': '00:00', 'open': '06:00'}, 'Thursday': {'close': '00:00', 'open': '06:00'}, 'Sunday': {'close': '00:00', 'open': '06:00'}, 'Saturday': {'close': '00:00', 'open': '06:00'}}"
HwwEfnZKLNOUoqfgcwAgcQ,"{'Monday': {'close': '21:00', 'open': '10:00'}, 'Tuesday': {'close': '21:00', 'open': '10:00'}, 'Friday': {'close': '22:00', 'open': '10:00'}, 'Wednesday': {'close': '21:00', 'open': '10:00'}, 'Thursday': {'close': '21:00', 'open': '10:00'}, 'Sunday': {'close': '20:00', 'open': '11:00'}, 'Saturday': {'close': '22:00', 'open': '10:00'}}"
EoAY1JSVeJriBzId8lUQwQ,"{'Monday': {'close': '02:00', 'open': '11:00'}, 'Tuesday': {'close': '02:00', 'open': '11:00'}, 'Friday': {'close': '02:00', 'open': '11:00'}, 'Wednesday': {'close': '02:00', 'open': '11:00'}, 'Thursday': {'close': '02:00', 'open': '11:00'}, 'Sunday': {'close': '02:00', 'open': '11:00'}, 'Saturday': {'close': '02:00', 'open': '11:00'}}"
uI0LvTXFACid1308KFO5ew,{}
Y4CcDDyMoDpK7BbpKawWjw,"{'Monday': {'close': '17:00', 'open': '08:00'}, 'Tuesday': {'close': '17:00', 'open': '08:00'}, 'Friday': {'close': '17:00', 'open': '08:00'}, 'Wednesday': {'close': '17:00', 'open': '08:00'}, 'Thursday': {'close': '17:00', 'open': '08:00'}, 'Sunday': {'close': '17:00', 'open': '12:00'}, 'Saturday': {'close': '17:00', 'open': '08:00'}}"
RxKrw38oyeYszQ6guY5b1A,{}
TfvWSIAMFZ9zI3y2-K6wOA,"{'Monday': {'close': '22:00', 'open': '11:00'}, 'Tuesday': {'close': '22:00', 'open': '11:00'}, 'Friday': {'close': '22:30', 'open': '11:00'}, 'Wednesday': {'close': '22:00', 'open': '11:00'}, 'Thursday': {'close': '22:00', 'open': '11:00'}, 'Sunday': {'close': '22:00', 'open': '12:00'}, 'Saturday': {'close': '22:30', 'open': '11:00'}}"
tU-YtoW339PXJmUGSix_AQ,{}
6p9TlP2I8S4agxYMNFSDjg,"{'Monday': {'close': '23:00', 'open': '11:00'}, 'Tuesday': {'close': '23:00', 'open': '11:00'}, 'Friday': {'close': '23:00', 'open': '11:00'}, 'Wednesday': {'close': '23:00', 'open': '11:00'}, 'Thursday': {'close': '23:00', 'open': '11:00'}, 'Sunday': {'close': '00:00', 'open': '11:00'}, 'Saturday': {'close': '00:00', 'open': '11:00'}}"
Eu3Iwje0YY8ectr-CxMgqg,{}
XhbC5Qj5nBcqcKLPRd8izQ,"{'Monday': {'close': '21:00', 'open': '10:00'}, 'Tuesday': {'close': '21:00', 'open': '10:00'}, 'Friday': {'close': '21:00', 'open': '10:00'}, 'Wednesday': {'close': '21:00', 'open': '10:00'}, 'Thursday': {'close': '21:00', 'open': '10:00'}, 'Sunday': {'close': '18:00', 'open': '12:00'}, 'Saturday': {'close': '21:00', 'open': '10:00'}}"
FituZ4jYzRe41ac9uvcHaQ,"{'Monday': {'close': '21:00', 'open': '10:00'}, 'Tuesday': {'close': '21:00', 'open': '10:00'}, 'Friday': {'close': '21:00', 'open': '10:00'}, 'Wednesday': {'close': '21:00', 'open': '10:00'}, 'Thursday': {'close': '21:00', 'open': '10:00'}, 'Sunday': {'close': '18:00', 'open': '11:00'}, 'Saturday': {'close': '21:00', 'open': '10:00'}}"
JDDeaNfb0JXD1NbznSIC9g,"{'Monday': {'close': '22:30', 'open': '11:00'}, 'Tuesday': {'close': '22:30', 'open': '11:00'}, 'Friday': {'close': '23:30', 'open': '11:00'}, 'Wednesday': {'close': '22:30', 'open': '11:00'}, 'Thursday': {'close': '22:30', 'open': '11:00'}, 'Sunday': {'close': '22:30', 'open': '11:00'}, 'Saturday': {'close': '23:30', 'open': '11:00'}}"
oPX8bpZ3dqviYQuic0Ahqw,"{'Monday': {'close': '21:00', 'open': '10:00'}, 'Tuesday': {'close': '21:00', 'open': '10:00'}, 'Friday': {'close': '21:00', 'open': '10:00'}, 'Wednesday': {'close': '21:00', 'open': '10:00'}, 'Thursday': {'close': '21:00', 'open': '10:00'}, 'Sunday': {'close': '18:00', 'open': '12:00'}, 'Saturday': {'close': '21:00', 'open': '10:00'}}"
FiXamVMgMf9U0VqFHDZSEA,"{'Monday': {'close': '21:00', 'open': '06:30'}, 'Tuesday': {'close': '21:00', 'open': '06:30'}, 'Friday': {'close': '22:00', 'open': '06:30'}, 'Wednesday': {'close': '21:00', 'open': '06:30'}, 'Thursday': {'close': '21:00', 'open': '06:30'}, 'Sunday': {'close': '20:00', 'open': '08:00'}, 'Saturday': {'close': '22:00', 'open': '07:00'}}"
LG_Dgv7u7P2ASDWU1RAyWQ,{}
ISKLP0qxApATxRlUDob6Cg,{}
DMy5IG-dNrH4ARk96KngEA,"{'Monday': {'close': '21:00', 'open': '10:00'}, 'Tuesday': {'close': '21:00', 'open': '10:00'}, 'Friday': {'close': '21:00', 'open': '10:00'}, 'Wednesday': {'close': '21:00', 'open': '10:00'}, 'Thursday': {'close': '21:00', 'open': '10:00'}, 'Sunday': {'close': '18:00', 'open': '11:00'}, 'Saturday': {'close': '21:00', 'open': '09:30'}}"
uLnDFdn011hEroQQMLmxNQ,{}
rdATJvFQK4C73NIQ3zoY3w,"{'Monday': {'close': '21:00', 'open': '10:00'}, 'Tuesday': {'close': '21:00', 'open': '10:00'}, 'Friday': {'close': '21:00', 'open': '10:00'}, 'Wednesday': {'close': '21:00', 'open': '10:00'}, 'Thursday': {'close': '21:00', 'open': '10:00'}, 'Sunday': {'close': '18:00', 'open': '11:00'}, 'Saturday': {'close': '21:00', 'open': '10:00'}}"
g10zmpUzmMJOOIjj_JJPvg,{}
eznh0XjVtv924K-KYx_ilQ,"{'Monday': {'close': '00:00', 'open': '06:00'}, 'Tuesday': {'close': '00:00', 'open': '06:00'}, 'Friday': {'close': '01:00', 'open': '06:00'}, 'Wednesday': {'close': '00:00', 'open': '06:00'}, 'Thursday': {'close': '00:00', 'open': '06:00'}, 'Sunday': {'close': '00:00', 'open': '06:00'}, 'Saturday': {'close': '01:00', 'open': '06:00'}}"
LQFWH1AKJlXGmEBlIKsBCw,"{'Monday': {'close': '21:30', 'open': '09:30'}, 'Tuesday': {'close': '21:30', 'open': '09:30'}, 'Friday': {'close': '21:30', 'open': '09:30'}, 'Wednesday': {'close': '21:30', 'open': '09:30'}, 'Thursday': {'close': '21:30', 'open': '09:30'}, 'Sunday': {'close': '20:00', 'open': '11:00'}, 'Saturday': {'close': '21:30', 'open': '09:30'}}"
LO2CjrNL8DXkvm9uALgRjQ,{}
usSROUMiAgPcxV3Ym0OxMQ,"{'Monday': {'close': '23:00', 'open': '11:30'}, 'Tuesday': {'close': '23:00', 'open': '11:30'}, 'Friday': {'close': '00:00', 'open': '11:30'}, 'Wednesday': {'close': '23:00', 'open': '11:30'}, 'Thursday': {'close': '23:00', 'open': '11:30'}, 'Sunday': {'close': '22:00', 'open': '11:00'}, 'Saturday': {'close': '00:00', 'open': '11:30'}}"
qfL7ZFkxqDZOPIaVVfT3Aw,{}
GlYPVYSOVT7zn00Kk_Oz4g,"{'Monday': {'close': '21:30', 'open': '09:00'}, 'Tuesday': {'close': '21:30', 'open': '09:00'}, 'Friday': {'close': '21:30', 'open': '09:00'}, 'Wednesday': {'close': '21:30', 'open': '09:00'}, 'Thursday': {'close': '21:30', 'open': '09:00'}, 'Sunday': {'close': '19:00', 'open': '10:00'}, 'Saturday': {'close': '21:30', 'open': '09:00'}}"
WaHXyBwljbKNPmmJZn5j8Q,{}
bCw9HKDFLU_PppnNg-nIlw,"{'Monday': {'close': '00:00', 'open': '06:00'}, 'Tuesday': {'close': '00:00', 'open': '06:00'}, 'Friday': {'close': '00:00', 'open': '06:00'}, 'Wednesday': {'close': '00:00', 'open': '06:00'}, 'Thursday': {'close': '00:00', 'open': '06:00'}, 'Sunday': {'close': '00:00', 'open': '06:00'}, 'Saturday': {'close': '00:00', 'open': '06:00'}}"
CL3tZqbYT7B5zgewKCS6-Q,{}
u22QDAON1kk0wjoTliyftw,{}
4ykgzzzGEWjMD5lwk1-l9A,{}
53Yk2EODWnV9qHQECzeHVQ,{}
iBZRphMDFcS2aMbawc1OvA,{}
hnHt6EinzC-IX6y3GSF7jw,"{'Tuesday': {'close': '16:30', 'open': '07:00'}, 'Friday': {'close': '16:30', 'open': '07:00'}, 'Wednesday': {'close': '16:30', 'open': '07:00'}, 'Thursday': {'close': '16:30', 'open': '07:00'}, 'Saturday': {'close': '15:30', 'open': '07:00'}}"
LiMXTPwanF3LkkKHklFCjw,"{'Friday': {'close': '19:00', 'open': '11:00'}, 'Tuesday': {'close': '19:00', 'open': '11:00'}, 'Thursday': {'close': '19:00', 'open': '11:00'}, 'Wednesday': {'close': '19:00', 'open': '11:00'}, 'Monday': {'close': '18:00', 'open': '11:00'}}"
GJAv1nAfnHuab8oRyr8mXg,{}
r8BwdblCW-ZUES37BL0khw,"{'Monday': {'close': '14:00', 'open': '06:00'}, 'Tuesday': {'close': '14:00', 'open': '06:00'}, 'Friday': {'close': '14:00', 'open': '06:00'}, 'Wednesday': {'close': '14:00', 'open': '06:00'}, 'Thursday': {'close': '14:00', 'open': '06:00'}, 'Sunday': {'close': '14:00', 'open': '07:00'}, 'Saturday': {'close': '14:00', 'open': '07:00'}}"
mIiHJkpK8nZvW_45LlhrbA,{}
bN3jIkPqbqroQJteJsC2uw,"{'Tuesday': {'close': '20:00', 'open': '12:00'}, 'Friday': {'close': '20:00', 'open': '12:00'}, 'Wednesday': {'close': '20:00', 'open': '12:00'}, 'Thursday': {'close': '20:00', 'open': '12:00'}, 'Saturday': {'close': '20:00', 'open': '12:00'}}"
OZfpG8tDCcIEq8pzgZdyKw,{}
OSYHPhvDWMqBRDZblqGiZA,{}
8Nm_jcCYtMXYW0ODSHDiXA,"{'Monday': {'close': '22:00', 'open': '16:30'}, 'Tuesday': {'close': '22:00', 'open': '16:30'}, 'Friday': {'close': '22:30', 'open': '16:30'}, 'Wednesday': {'close': '22:00', 'open': '16:30'}, 'Thursday': {'close': '22:00', 'open': '16:30'}, 'Sunday': {'close': '21:00', 'open': '15:00'}, 'Saturday': {'close': '22:30', 'open': '16:30'}}"
9tAbTDdYTASHL7EU1e-OWw,"{'Monday': {'close': '18:00', 'open': '08:30'}, 'Tuesday': {'close': '18:00', 'open': '08:30'}, 'Friday': {'close': '18:00', 'open': '08:30'}, 'Wednesday': {'close': '18:00', 'open': '08:30'}, 'Thursday': {'close': '18:00', 'open': '08:30'}, 'Saturday': {'close': '17:00', 'open': '08:30'}}"
imM-x_nAxVtYGVFJJ4FS3Q,"{'Monday': {'close': '17:00', 'open': '09:00'}, 'Tuesday': {'close': '17:00', 'open': '09:00'}, 'Friday': {'close': '17:00', 'open': '09:00'}, 'Wednesday': {'close': '17:00', 'open': '09:00'}, 'Thursday': {'close': '17:00', 'open': '09:00'}, 'Saturday': {'close': '14:00', 'open': '09:00'}}"
T49ZvBa6mD4xHSmjHe-ArA,{}
TpLtXNrNK0FcmSLtNN7rpQ,"{'Monday': {'close': '19:00', 'open': '07:30'}, 'Tuesday': {'close': '19:00', 'open': '07:30'}, 'Friday': {'close': '19:00', 'open': '07:30'}, 'Wednesday': {'close': '19:00', 'open': '07:30'}, 'Thursday': {'close': '19:00', 'open': '07:30'}, 'Sunday': {'close': '16:00', 'open': '10:00'}, 'Saturday': {'close': '17:00', 'open': '08:00'}}"
eOv0Dbq2E8sd0CKMAqTImw,{}
